mac_fill,flood_pressure,avg_age
0.7,0.0,0.01
0.7,0.0,0.01
0.7,0.0,0.02
0.0,0.0,0.0
0.7,1.0,0.0
0.0,0.0,0.0
0.7,1.0,0.0
0.0,0.0,0.0
1.1,1.0,0.0167
0.0,0.0,0.0
0.6,1.0,0.0167
0.0,0.0,0.0
0.9,1.0,0.0093
0.0,0.0,0.0
0.4,1.0,0.0013
0.0,0.0,0.0
0.9,1.0,0.0017
0.0,0.0,0.0
0.8,1.0,0.0167
1.0,0.2,0.0023
1.4,0.286,0.0033
1.3,0.0,0.0044
1.6,0.188,0.0042
1.6,0.0,0.0056
1.7,0.059,0.0065
1.7,0.0,0.0077
1.8,0.056,0.009
2.0,0.1,0.0085
2.0,0.0,0.01
1.9,0.0,0.0112
1.9,0.0,0.0129
1.9,0.0,0.0146
1.9,0.0,0.0154
1.9,0.0,0.0171
1.9,0.0,0.0188
1.9,0.0,0.2211
1.9,0.0,0.2377
2.0,0.05,0.2117
1.9,0.0,0.2211
1.8,0.0,0.2278
1.8,0.0,0.2426
1.7,0.0,0.2333
1.6,0.0,0.2385
1.6,0.0,0.0249
1.6,0.0,0.0264
1.6,0.0,0.0278
1.5,0.0,0.0282
1.6,0.062,0.0224
1.6,0.0,0.0241
1.6,0.0,0.0249
1.6,0.0,0.0265
1.5,0.0,0.0261
1.5,0.0,0.0272
1.5,0.0,0.28
1.5,0.0,0.2956
1.5,0.0,0.0311
1.5,0.0,0.0309
1.6,0.062,0.0238
1.6,0.0,0.0253
1.6,0.0,0.0265
1.6,0.0,0.2802
1.6,0.0,0.2917
1.6,0.0,0.3
1.5,0.0,0.3033
1.5,0.0,0.3189
1.5,0.0,0.3344
1.5,0.0,0.0196
1.5,0.0,0.0209
1.5,0.0,0.022
1.5,0.0,0.0233
1.4,0.0,0.0207
1.4,0.0,0.022
1.3,0.0,0.0171
1.3,0.0,0.0183
1.4,0.071,0.018
1.4,0.0,0.0192
1.6,0.125,0.0108
1.6,0.0,0.0121
1.6,0.062,0.0109
1.6,0.0,0.0123
2.0,0.2,0.0103
2.0,0.0,0.0114
2.1,0.048,0.0122
2.0,0.0,0.1158
1.9,0.0,0.1228
1.9,0.0,0.0138
