mac_fill,flood_pressure,avg_age
1.0,1.0,0.0
0.0,0.0,0.0
1.4,1.0,0.001
0.0,0.0,0.0
1.3,1.0,0.001
1.3,0.0,0.004
1.3,0.0,0.004
1.3,0.0,0.007
1.5,0.133,0.006
1.5,0.0,0.009
1.5,0.0,0.009
1.5,0.0,0.013
1.5,0.0,0.011
1.5,0.0,0.014
1.5,0.0,0.016
1.5,0.0,0.019
1.5,0.0,0.02
1.5,0.0,0.023
1.5,0.0,0.024
1.5,0.0,0.028
1.5,0.0,0.029
1.5,0.0,0.032
1.8,0.167,0.021
1.8,0.0,0.023
1.8,0.0,0.024
1.8,0.0,0.027
1.8,0.0,0.028
1.8,0.0,0.028
1.8,0.0,0.03
1.8,0.0,0.033
1.8,0.0,0.034
1.8,0.0,0.037
1.8,0.0,0.033
1.8,0.0,0.035
1.8,0.0,0.036
1.8,0.0,0.039
1.8,0.0,0.04
1.8,0.0,0.045
1.8,0.0,0.046
1.8,0.0,0.049
1.8,0.0,0.051
1.8,0.0,0.046
1.8,0.0,0.046
1.8,0.0,0.049
1.8,0.0,0.05
1.8,0.0,0.053
1.9,0.053,0.051
1.9,0.0,0.054
1.9,0.0,0.051
1.9,0.0,0.053
1.9,0.0,0.055
2.0,0.05,0.053
2.1,0.048,0.052
2.1,0.0,0.054
2.1,0.0,0.054
2.1,0.0,0.057
2.2,0.045,0.055
2.2,0.0,0.057
2.2,0.0,0.06
2.3,0.043,0.059
2.3,0.0,0.062
2.4,0.042,0.055
2.4,0.0,0.057
2.4,0.0,0.045
2.4,0.0,0.047
2.4,0.0,0.05
2.4,0.0,0.051
2.4,0.0,0.049
2.4,0.0,0.052
2.4,0.0,0.045
2.4,0.0,0.047
2.4,0.0,0.047
2.4,0.0,0.048
2.4,0.0,0.041
2.4,0.0,0.044
2.4,0.0,0.046
2.4,0.0,0.048
2.4,0.0,0.049
2.4,0.0,0.052
2.4,0.0,0.043
2.4,0.0,0.046
2.4,0.0,0.035
2.4,0.0,0.038
2.4,0.0,0.04
2.4,0.0,0.043
2.4,0.0,0.044
2.4,0.0,0.047
2.4,0.0,0.049
2.4,0.0,0.055
2.4,0.0,0.057
2.4,0.0,0.06
2.4,0.0,0.058
2.4,0.0,0.061
2.4,0.0,0.063
2.4,0.0,0.067
2.4,0.0,0.069
2.4,0.0,0.072
2.4,0.0,0.075
2.4,0.0,0.078
2.4,0.0,0.08
2.4,0.0,0.075
2.4,0.0,0.077
2.4,0.0,0.08
2.4,0.0,0.082
2.4,0.0,0.085
2.4,0.0,0.087
2.4,0.0,0.09
2.4,0.0,0.093
2.4,0.0,0.095
2.4,0.0,0.097
2.4,0.0,0.1
2.4,0.0,0.102
2.4,0.0,0.105
2.4,0.0,0.107
2.4,0.0,0.11
2.4,0.0,0.113
2.4,0.0,0.116
2.4,0.0,0.118
2.4,0.0,0.121
2.4,0.0,0.124
2.4,0.0,0.127
2.4,0.0,0.129
2.4,0.0,0.132
2.4,0.0,0.135
2.4,0.0,0.138
2.4,0.0,0.141
2.4,0.0,0.144
2.4,0.0,0.146
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.151
2.4,0.0,0.153
2.4,0.0,0.156
2.4,0.0,0.159
2.4,0.0,0.162
2.4,0.0,0.164
2.4,0.0,0.167
2.4,0.0,0.17
2.4,0.0,0.173
2.4,0.0,0.175
2.4,0.0,0.182
2.4,0.0,0.184
2.4,0.0,0.187
2.4,0.0,0.19
2.4,0.0,0.193
2.4,0.0,0.195
2.4,0.0,0.198
2.4,0.0,0.188
2.4,0.0,0.191
2.4,0.0,0.191
2.4,0.0,0.194
2.4,0.0,0.196
2.4,0.0,0.199
2.4,0.0,0.193
2.4,0.0,0.196
2.4,0.0,0.199
2.4,0.0,0.202
2.4,0.0,0.189
2.4,0.0,0.191
2.4,0.0,0.184
2.4,0.0,0.187
2.4,0.0,0.19
2.4,0.0,0.192
2.4,0.0,0.18
2.4,0.0,0.182
2.4,0.0,0.186
2.4,0.0,0.188
2.4,0.0,0.175
2.4,0.0,0.177
2.4,0.0,0.168
2.4,0.0,0.17
2.4,0.0,0.174
2.4,0.0,0.176
2.4,0.0,0.163
2.4,0.0,0.165
2.4,0.0,0.168
2.4,0.0,0.171
2.4,0.0,0.174
2.4,0.0,0.176
2.4,0.0,0.18
2.4,0.0,0.182
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.15
2.4,0.0,0.152
2.4,0.0,0.155
2.4,0.0,0.158
2.4,0.0,0.15
2.4,0.0,0.153
2.4,0.0,0.139
2.4,0.0,0.145
2.4,0.0,0.148
2.4,0.0,0.151
2.4,0.0,0.136
2.4,0.0,0.139
2.4,0.0,0.142
2.4,0.0,0.144
2.4,0.0,0.147
2.4,0.0,0.15
2.4,0.0,0.151
2.4,0.0,0.153
2.4,0.0,0.156
2.4,0.0,0.159
2.4,0.0,0.162
2.4,0.0,0.164
2.4,0.0,0.167
2.4,0.0,0.169
2.4,0.0,0.173
2.4,0.0,0.175
2.4,0.0,0.138
2.4,0.0,0.141
2.4,0.0,0.144
2.4,0.0,0.146
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.154
2.4,0.0,0.158
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.166
2.4,0.0,0.169
2.4,0.0,0.171
2.4,0.0,0.174
2.4,0.0,0.177
2.4,0.0,0.18
2.4,0.0,0.106
2.4,0.0,0.108
2.4,0.0,0.112
2.4,0.0,0.114
2.4,0.0,0.117
2.4,0.0,0.12
2.4,0.0,0.123
2.4,0.0,0.125
2.4,0.0,0.128
2.4,0.0,0.131
2.4,0.0,0.133
2.4,0.0,0.137
2.4,0.0,0.139
2.4,0.0,0.123
2.4,0.0,0.126
2.4,0.0,0.129
2.4,0.0,0.124
2.4,0.0,0.127
2.4,0.0,0.13
2.4,0.0,0.133
2.4,0.0,0.135
2.4,0.0,0.138
2.4,0.0,0.141
2.4,0.0,0.125
2.4,0.0,0.127
2.4,0.0,0.13
2.4,0.0,0.132
2.4,0.0,0.135
2.4,0.0,0.137
2.4,0.0,0.14
2.4,0.0,0.142
2.4,0.0,0.145
2.4,0.0,0.145
2.4,0.0,0.147
2.4,0.0,0.149
2.4,0.0,0.152
2.4,0.0,0.154
2.4,0.0,0.157
2.4,0.0,0.159
2.4,0.0,0.162
2.4,0.0,0.164
2.4,0.0,0.167
2.4,0.0,0.152
2.4,0.0,0.155
2.4,0.0,0.157
2.4,0.0,0.16
2.4,0.0,0.163
2.4,0.0,0.165
2.4,0.0,0.168
2.4,0.0,0.171
2.4,0.0,0.173
2.4,0.0,0.176
2.4,0.0,0.173
2.4,0.0,0.176
2.4,0.0,0.178
2.4,0.0,0.181
2.4,0.0,0.183
2.4,0.0,0.186
2.4,0.0,0.189
2.4,0.0,0.192
2.4,0.0,0.194
2.4,0.0,0.198
2.4,0.0,0.2
2.4,0.0,0.203
2.4,0.0,0.206
2.4,0.0,0.209
2.4,0.0,0.212
2.4,0.0,0.215
2.4,0.0,0.218
2.4,0.0,0.224
2.4,0.0,0.227
2.4,0.0,0.23
2.4,0.0,0.233
2.4,0.0,0.235
2.4,0.0,0.238
2.4,0.0,0.241
2.4,0.0,0.244
2.4,0.0,0.247
2.4,0.0,0.25
2.4,0.0,0.253
2.4,0.0,0.256
2.4,0.0,0.259
2.4,0.0,0.262
2.4,0.0,0.264
2.4,0.0,0.268
2.4,0.0,0.27
2.4,0.0,0.273
2.4,0.0,0.276
2.4,0.0,0.279
2.4,0.0,0.282
2.4,0.0,0.285
2.4,0.0,0.288
2.4,0.0,0.28
2.4,0.0,0.283
2.4,0.0,0.286
2.4,0.0,0.288
2.4,0.0,0.291
2.4,0.0,0.293
2.4,0.0,0.296
2.4,0.0,0.299
2.4,0.0,0.302
2.4,0.0,0.304
2.4,0.0,0.307
2.4,0.0,0.31
2.4,0.0,0.312
2.4,0.0,0.315
2.4,0.0,0.318
2.4,0.0,0.321
2.4,0.0,0.323
2.4,0.0,0.326
2.4,0.0,0.329
2.4,0.0,0.28
2.4,0.0,0.283
2.4,0.0,0.285
2.4,0.0,0.288
