mac_fill,new_mac_rate,avg_age
1.500,0.000,0.005
1.500,0.000,0.053
1.500,0.000,0.006
1.700,0.083,0.004
1.700,0.000,0.004
1.700,0.000,0.003
1.700,0.000,0.004
1.600,0.000,0.005
1.600,0.000,0.054
1.500,0.000,0.048
1.500,0.000,0.005
1.500,0.000,0.006
1.500,0.000,0.006
1.400,0.000,0.006
1.300,0.000,0.005
1.300,0.000,0.050
1.300,0.000,0.004
1.200,0.000,0.003
1.200,0.000,0.033
1.100,0.000,0.015
1.100,0.000,0.020
1.100,0.000,0.026
1.000,0.000,0.013
1.000,0.000,0.002
1.000,0.000,0.002
1.100,0.000,0.009
1.100,0.000,0.002
1.100,0.000,0.002
1.000,0.000,0.002
1.000,0.000,0.001
0.900,0.000,0.000
0.900,0.000,0.002
0.900,0.000,0.006
0.900,0.000,0.001
1.300,0.000,0.006
1.400,0.000,0.001
1.400,0.000,0.023
1.400,0.000,0.030
1.400,0.000,0.039
1.300,0.000,0.032
1.200,0.000,0.036
1.200,0.000,0.042
1.100,0.000,0.042
1.000,0.000,0.042
1.300,0.000,0.055
1.300,0.000,0.061
1.200,0.000,0.057
1.200,0.000,0.065
1.200,0.000,0.074
1.200,0.000,0.062
1.200,0.000,0.072
1.200,0.000,0.082
1.100,0.000,0.070
1.100,0.000,0.077
1.100,0.000,0.035
1.100,0.000,0.041
1.100,0.000,0.047
1.100,0.000,0.053
1.000,0.000,0.037
1.000,0.000,0.002
1.000,0.000,0.003
1.000,0.000,0.003
0.900,0.000,0.002
0.900,0.000,0.002
1.100,0.000,0.023
1.100,0.000,0.003
1.000,0.000,0.002
0.900,0.000,0.001
0.900,0.000,0.001
0.900,0.000,0.002
0.800,0.000,0.000
0.800,0.000,0.004
0.800,0.000,0.004
1.000,0.000,0.005
1.000,0.000,0.010
1.000,0.000,0.013
1.000,0.000,0.015
0.900,0.000,0.011
0.900,0.000,0.000
0.900,0.000,0.004
0.900,0.000,0.004
0.900,0.000,0.001
0.800,0.000,0.000
0.900,0.059,0.000
0.900,0.000,0.002
0.900,0.000,0.002
0.800,0.000,0.002
0.800,0.000,0.001
0.700,0.000,0.001
0.700,0.000,0.000
0.700,0.000,0.001
0.700,0.000,0.001
0.700,0.000,0.002
0.900,0.056,0.001
0.900,0.000,0.002
0.900,0.000,0.020
0.900,0.000,0.024
0.900,0.000,0.017
0.900,0.000,0.022
0.900,0.000,0.020
0.800,0.000,0.019
0.800,0.000,0.002
0.800,0.000,0.003
0.900,0.000,0.001
0.900,0.000,0.020
0.900,0.000,0.018
0.900,0.000,0.028
0.900,0.000,0.003
