Episode,Discounted_G,Total_Reward,Epsilon
1,-236.8994,-300.357,1.0
2,-69.248,-73.262,0.985
3,-24.2709,-29.7885,0.9702
4,-19.4996,-20.5605,0.9557
5,0.6741,1.0265,0.9413
6,-9.7807,-12.5565,0.9272
7,-16.0516,-18.3675,0.9133
8,1.4943,1.3995,0.8996
9,0.1612,0.271,0.8861
10,-1.0289,-0.4265,0.8728
11,-8.6939,-10.0285,0.8597
12,3.8362,3.875,0.8468
13,0.0,0.0,0.8341
14,0.0,0.0,0.8216
15,0.0,0.0,0.8093
16,-143.1286,-174.613,0.7972
17,-38.6663,-44.99,0.7852
18,-0.2224,-0.1245,0.7734
19,-5.3977,-5.6955,0.7618
