Episode,Step,mac_fill,MAC_Count,flood_pressure,avg_age,Situation,State_Index,Original_Action,Executed_Action,Action_Name,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_LEARN_MAC,Chosen_By,Outcome,Reward,Total_Ep_Reward,Epsilon,Port_Acted,Evicted_MAC,Old_MAC_Fill,New_MAC_Fill,Old_Flood,New_Flood,Old_Age,New_Age
1,1,1.2,12,0.0,0.0528,PREVENTIVE,184,3,3,LEARN_MAC,0.0,0.0,0.0,0.0,RANDOM,neutral,0.0,0.0,1.0,N/A,N/A,1.2,1.2,1.0,0.0,0.0528,0.0528
1,2,1.2,12,0.0,0.2639,PREVENTIVE,128,2,2,DECREASE_AGING,0.0,0.0,-0.0422,0.0,RANDOM,degraded,-0.4222,-0.4222,1.0,N/A,N/A,1.2,1.2,0.0,0.0,0.0528,0.2639
1,3,1.2,12,0.0,0.2639,PREVENTIVE,130,2,2,DECREASE_AGING,0.0,0.0,0.0,0.0,RANDOM,neutral,0.0,-0.4222,1.0,N/A,N/A,1.2,1.2,0.0,0.0,0.2639,0.2639
1,4,1.2,12,0.083,0.1806,PREVENTIVE,130,0,0,EVICT,-0.0248,0.0,0.0,0.0,RANDOM,improved,-0.2484,-0.6706,1.0,N/A,N/A,1.2,1.2,0.0,0.083,0.2639,0.1806
1,5,1.2,12,0.0,0.1806,PREVENTIVE,129,2,2,DECREASE_AGING,0.0,0.0,0.0,0.0,RANDOM,neutral,0.0,-0.6706,1.0,N/A,N/A,1.2,1.2,0.083,0.0,0.1806,0.1806
1,6,1.1,11,0.0,0.203,PREVENTIVE,129,0,0,EVICT,0.1955,0.0,0.0,0.0,RANDOM,improved,1.9552,1.2846,1.0,N/A,N/A,1.2,1.1,0.0,0.0,0.1806,0.203
1,7,1.1,11,0.0,0.0203,PREVENTIVE,129,1,1,INCREASE_AGING,0.1955,-0.2635,0.0,0.0,RANDOM,improved,-2.6346,-1.35,1.0,N/A,N/A,1.1,1.1,0.0,0.0,0.203,0.0203
1,8,1.1,11,0.0,0.0203,PREVENTIVE,128,1,1,INCREASE_AGING,0.0,-0.3,-0.0422,0.0,RANDOM,neutral,-3.0,-4.35,1.0,N/A,N/A,1.1,1.1,0.0,0.0,0.0203,0.0203
1,9,1.1,11,0.0,0.0203,PREVENTIVE,128,3,3,LEARN_MAC,0.0,-0.3,-0.0422,0.0,RANDOM,neutral,0.0,-4.35,1.0,N/A,N/A,1.1,1.1,0.0,0.0,0.0203,0.0203
1,10,1.1,11,0.0,0.203,PREVENTIVE,128,2,2,DECREASE_AGING,0.0,-0.3,-0.0569,0.0,RANDOM,degraded,-0.3654,-4.7154,1.0,N/A,N/A,1.1,1.1,0.0,0.0,0.0203,0.203
