mac_fill,flood_pressure,avg_age
2.0,1.0,29.6
2.0,0.0,30.25
2.0,0.0,30.6
2.0,0.0,31.2
2.0,0.0,31.6
2.0,0.0,32.25
2.0,0.0,32.6
2.0,0.0,33.2
2.0,0.0,24.65
2.0,0.0,25.2
2.0,0.0,25.5
2.0,0.0,26.1
2.0,0.0,26.5
2.0,0.0,27.1
2.0,0.0,27.5
2.0,0.0,28.1
2.0,0.0,28.5
2.0,0.0,26.2
2.0,0.0,26.7
2.0,0.0,27.25
2.0,0.0,27.6
2.0,0.0,28.2
2.0,0.0,28.6
2.0,0.0,28.95
2.0,0.0,29.35
2.0,0.0,29.95
2.0,0.0,30.35
2.0,0.0,23.25
2.0,0.0,23.65
2.0,0.0,24.15
2.0,0.0,24.45
2.0,0.0,24.95
2.0,0.0,25.2
2.0,0.0,25.75
2.0,0.0,26.15
2.0,0.0,26.55
2.0,0.0,26.95
2.0,0.0,22.0
2.0,0.0,22.35
2.0,0.0,22.8
2.0,0.0,23.2
2.0,0.0,23.6
2.0,0.0,23.7
2.0,0.0,24.15
2.0,0.0,24.5
2.0,0.0,24.95
2.0,0.0,25.3
2.0,0.0,25.75
2.0,0.0,26.1
2.0,0.0,26.55
2.0,0.0,26.9
2.0,0.0,27.35
2.0,0.0,27.7
2.0,0.0,28.15
2.0,0.0,28.5
2.0,0.0,29.05
2.0,0.0,29.4
2.0,0.0,23.6
2.0,0.0,23.95
2.0,0.0,24.5
2.0,0.0,24.95
2.0,0.0,26.5
2.0,0.0,26.95
2.0,0.0,27.5
2.0,0.0,27.95
2.0,0.0,28.5
2.0,0.0,28.95
2.0,0.0,29.5
2.0,0.0,29.95
2.0,0.0,30.5
2.0,0.0,31.0
2.0,0.0,31.65
2.0,0.0,31.85
2.0,0.0,32.45
2.0,0.0,32.85
2.0,0.0,33.5
2.0,0.0,34.0
2.0,0.0,32.15
2.0,0.0,32.55
2.0,0.0,33.15
2.0,0.0,33.55
2.0,0.0,34.1
2.0,0.0,34.0
2.0,0.0,34.6
2.0,0.0,35.05
2.0,0.0,35.7
2.0,0.0,35.9
2.0,0.0,21.95
2.0,0.0,22.45
2.0,0.0,23.05
2.0,0.0,23.55
2.0,0.0,24.1
2.0,0.0,24.1
2.0,0.0,24.75
2.0,0.0,25.25
2.0,0.0,25.85
2.0,0.0,26.35
2.0,0.0,26.9
2.0,0.0,27.45
2.0,0.0,28.1
2.0,0.0,28.6
2.0,0.0,29.25
2.0,0.0,29.8
2.0,0.0,30.45
2.0,0.0,31.0
2.0,0.0,31.7
2.0,0.0,29.35
2.0,0.0,30.05
2.0,0.0,30.65
2.0,0.0,31.3
2.0,0.0,31.85
2.0,0.0,32.1
2.0,0.0,32.75
2.0,0.0,33.45
2.0,0.0,33.95
2.0,0.0,34.7
2.0,0.0,32.0
2.0,0.0,32.55
2.0,0.0,33.2
2.0,0.0,33.75
2.0,0.0,34.4
2.0,0.0,34.7
2.0,0.0,35.45
2.0,0.0,36.0
2.0,0.0,36.7
2.0,0.0,37.3
2.0,0.0,31.6
2.0,0.0,32.1
2.0,0.0,32.7
2.0,0.0,33.2
2.0,0.0,33.8
2.0,0.143,1.0
2.0,0.145,0.0
2.0,0.147,0.0
2.0,0.149,0.0
2.0,0.151,0.0
2.0,0.153,0.0
2.0,0.151,0.0
2.0,0.154,0.0
2.0,0.156,0.0
2.0,0.158,0.0
2.0,0.16,0.0
2.0,0.162,0.0
2.0,0.164,0.0
2.0,0.167,0.0
2.0,0.169,0.0
2.0,0.171,0.0
2.0,0.16,0.0
2.0,0.163,0.0
2.0,0.165,0.0
2.0,0.168,0.0
2.0,0.17,0.0
2.0,0.172,0.0
2.0,0.174,0.0
2.0,0.177,0.0
2.0,0.179,0.0
2.0,0.182,0.0
2.0,0.183,0.0
2.0,0.186,0.0
2.0,0.189,0.0
2.0,0.192,0.0
2.0,0.195,0.0
2.0,0.197,0.0
2.0,0.2,0.0
2.0,0.203,0.0
2.0,0.205,0.0
2.0,0.208,0.0
2.0,0.204,0.0
2.0,0.207,0.0
2.0,0.209,0.0
2.0,0.212,0.0
2.0,0.214,0.0
2.0,0.217,0.0
2.0,0.219,0.0
2.0,0.222,0.0
2.0,0.224,0.0
2.0,0.227,0.0
2.0,0.203,0.0
2.0,0.205,0.0
2.0,0.208,0.0
2.0,0.21,0.0
2.0,0.212,0.0
2.0,0.215,0.0
2.0,0.217,0.0
2.0,0.219,0.0
2.0,0.222,0.0
2.0,0.213,0.0
2.0,0.216,0.0
2.0,0.218,0.0
2.0,0.22,0.0
2.0,0.222,0.0
2.0,0.224,0.0
2.0,0.226,0.0
2.0,0.228,0.0
2.0,0.23,0.0
2.0,0.232,0.0
2.0,0.223,0.0
2.0,0.207,0.0
2.0,0.209,0.0
2.0,0.211,0.0
2.0,0.213,0.0
2.0,0.215,0.0
2.0,0.217,0.0
2.0,0.219,0.0
2.0,0.221,0.0
2.0,0.223,0.0
2.0,0.214,0.0
2.0,0.216,0.0
2.0,0.218,0.0
2.0,0.22,0.0
2.0,0.222,0.0
2.0,0.226,0.0
2.0,0.228,0.0
2.0,0.23,0.0
2.0,0.231,0.0
2.0,0.233,0.0
2.0,0.235,0.0
2.0,0.237,0.0
2.0,0.239,0.0
2.0,0.241,0.0
2.0,0.243,0.0
2.0,0.245,0.0
2.0,0.247,0.0
2.0,0.249,0.0
2.0,0.251,0.0
2.0,0.253,0.0
2.0,0.235,0.0
2.0,0.236,0.0
2.0,0.237,0.0
2.0,0.239,0.0
2.0,0.241,0.0
2.0,0.242,0.0
2.0,0.244,0.0
2.0,0.246,0.0
2.0,0.248,0.0
2.0,0.25,0.0
2.0,0.229,0.0
2.0,0.231,0.0
2.0,0.233,0.0
2.0,0.234,0.0
2.0,0.236,0.0
2.0,0.237,0.0
2.0,0.239,0.0
2.0,0.241,0.0
2.0,0.243,0.0
2.0,0.245,0.0
2.0,0.246,0.0
2.0,0.248,0.0
2.0,0.25,0.0
2.0,0.252,0.0
2.0,0.254,0.0
2.0,0.256,0.0
2.0,0.257,0.0
2.0,0.259,0.0
2.0,0.261,0.0
2.0,0.263,0.0
2.0,0.264,0.0
2.0,0.267,0.0
2.0,0.268,0.0
2.0,0.27,0.0
2.0,0.273,0.0
2.0,0.275,0.0
2.0,0.277,0.0
2.0,0.278,0.0
2.0,0.281,0.0
1.1,0.02,0.0
1.1,0.022,0.0
1.1,0.023,0.0
1.1,0.025,0.0
1.1,0.025,0.0
1.1,0.026,0.0
1.1,0.028,0.0
1.1,0.029,0.0
1.1,0.031,0.0
1.1,0.032,0.0
1.1,0.034,0.0
1.1,0.035,0.0
1.1,0.037,0.0
1.1,0.038,0.0
1.1,0.04,0.0
1.1,0.042,0.0
1.1,0.043,0.0
1.1,0.045,0.0
1.1,0.046,0.0
1.1,0.048,0.0
1.1,0.049,0.0
1.1,0.051,0.0
1.1,0.052,0.0
1.1,0.054,0.0
1.1,0.055,0.0
1.1,0.057,0.0
1.1,0.058,0.0
1.1,0.06,0.0
1.1,0.061,0.0
1.1,0.063,0.0
1.1,0.068,0.0
1.0,0.055,0.0
1.0,0.057,0.0
1.0,0.059,0.0
1.0,0.06,0.0
0.9,0.045,0.0
0.9,0.047,0.0
0.9,0.048,0.0
0.9,0.05,0.0
0.9,0.051,0.0
0.9,0.053,0.0
0.9,0.054,0.0
0.9,0.056,0.0
0.9,0.057,0.0
0.9,0.059,0.0
0.9,0.06,0.0
0.9,0.061,0.0
0.9,0.063,0.0
0.9,0.065,0.0
0.9,0.066,0.0
0.9,0.05,0.0
0.9,0.052,0.0
0.9,0.053,0.0
0.9,0.055,0.0
0.9,0.056,0.0
0.9,0.056,0.0
0.9,0.057,0.0
0.9,0.059,0.0
0.9,0.06,0.0
0.9,0.061,0.0
0.9,0.04,0.0
1.1,0.022,0.182
1.1,0.024,0.0
1.1,0.026,0.0
1.1,0.028,0.0
1.1,0.028,0.0
1.1,0.03,0.0
1.1,0.032,0.0
1.1,0.033,0.0
1.1,0.035,0.0
1.1,0.034,0.0
1.1,0.035,0.0
1.0,0.014,0.0
1.0,0.016,0.0
1.0,0.016,0.0
1.0,0.018,0.0
1.0,0.019,0.0
1.0,0.02,0.0
1.0,0.022,0.0
1.0,0.023,0.0
1.1,0.022,0.091
1.1,0.024,0.0
1.1,0.025,0.0
1.1,0.027,0.0
1.1,0.028,0.0
1.1,0.03,0.0
1.1,0.032,0.0
1.1,0.034,0.0
1.1,0.036,0.0
1.1,0.038,0.0
1.1,0.04,0.0
1.1,0.042,0.0
1.1,0.044,0.0
1.1,0.046,0.0
1.1,0.048,0.0
1.1,0.051,0.0
1.1,0.053,0.0
1.1,0.055,0.0
1.1,0.057,0.0
1.2,0.049,0.083
1.2,0.051,0.0
1.2,0.057,0.0
1.2,0.059,0.0
1.2,0.061,0.0
1.2,0.061,0.0
1.2,0.063,0.0
1.2,0.065,0.0
1.2,0.067,0.0
1.2,0.069,0.0
1.2,0.07,0.0
1.2,0.072,0.0
1.2,0.075,0.0
1.2,0.077,0.0
1.2,0.08,0.0
1.2,0.081,0.0
1.2,0.083,0.0
1.2,0.086,0.0
1.2,0.088,0.0
1.2,0.091,0.0
1.2,0.076,0.0
1.2,0.079,0.0
1.2,0.081,0.0
1.2,0.084,0.0
1.2,0.086,0.0
1.2,0.086,0.0
1.2,0.088,0.0
1.2,0.091,0.0
1.2,0.093,0.0
0.9,0.053,0.0
1.1,0.038,0.182
1.1,0.039,0.0
1.1,0.041,0.0
1.1,0.043,0.0
1.1,0.045,0.0
1.1,0.043,0.0
1.1,0.045,0.0
1.1,0.047,0.0
1.1,0.049,0.0
1.1,0.051,0.0
1.1,0.054,0.0
1.1,0.056,0.0
1.1,0.058,0.0
1.1,0.059,0.0
1.1,0.061,0.0
1.0,0.048,0.0
1.0,0.05,0.0
1.0,0.052,0.0
1.0,0.054,0.0
1.0,0.056,0.0
1.0,0.058,0.0
0.9,0.042,0.0
0.9,0.044,0.0
0.9,0.046,0.0
0.9,0.048,0.0
0.9,0.05,0.0
0.9,0.052,0.0
0.9,0.054,0.0
0.9,0.056,0.0
0.9,0.057,0.0
1.2,0.033,0.25
1.2,0.034,0.0
1.2,0.035,0.0
1.2,0.037,0.0
1.2,0.038,0.0
1.2,0.037,0.0
1.2,0.038,0.0
1.2,0.039,0.0
1.2,0.04,0.0
1.2,0.041,0.0
1.3,0.028,0.077
1.3,0.029,0.0
1.3,0.03,0.0
1.3,0.032,0.0
1.3,0.033,0.0
1.3,0.033,0.0
1.3,0.035,0.0
1.3,0.037,0.0
1.2,0.022,0.0
1.3,0.02,0.077
1.3,0.021,0.0
1.3,0.024,0.0
1.3,0.025,0.0
1.3,0.027,0.0
1.3,0.028,0.0
1.3,0.027,0.0
1.3,0.029,0.0
1.3,0.032,0.0
1.3,0.033,0.0
1.3,0.031,0.0
1.3,0.033,0.0
1.3,0.035,0.0
1.4,0.038,0.071
1.4,0.04,0.0
1.4,0.039,0.0
1.4,0.042,0.0
1.4,0.044,0.0
1.4,0.047,0.0
1.3,0.036,0.0
1.4,0.021,0.071
1.4,0.022,0.0
1.4,0.023,0.0
1.4,0.024,0.0
1.4,0.025,0.0
1.4,0.025,0.0
1.4,0.027,0.0
1.4,0.028,0.0
1.4,0.03,0.0
1.4,0.031,0.0
1.4,0.031,0.0
1.4,0.033,0.0
1.4,0.034,0.0
1.4,0.036,0.0
1.4,0.038,0.0
1.4,0.039,0.0
1.4,0.041,0.0
1.4,0.044,0.0
1.4,0.046,0.0
1.4,0.048,0.0
1.4,0.04,0.0
1.4,0.042,0.0
1.4,0.044,0.0
1.4,0.046,0.0
1.4,0.047,0.0
1.4,0.05,0.0
1.4,0.052,0.0
1.4,0.053,0.0
1.4,0.056,0.0
1.4,0.058,0.0
1.4,0.06,0.0
1.4,0.061,0.0
1.4,0.063,0.0
1.3,0.055,0.0
1.3,0.056,0.0
1.2,0.047,0.0
1.2,0.049,0.0
1.2,0.051,0.0
1.2,0.054,0.0
1.2,0.056,0.0
1.2,0.058,0.0
1.2,0.06,0.0
1.2,0.063,0.0
1.2,0.064,0.0
1.2,0.066,0.0
1.2,0.069,0.0
1.2,0.071,0.0
1.2,0.073,0.0
1.2,0.075,0.0
1.2,0.078,0.0
1.3,0.065,0.077
1.3,0.067,0.0
1.3,0.069,0.0
1.3,0.071,0.0
1.2,0.061,0.0
1.2,0.063,0.0
1.2,0.065,0.0
1.2,0.067,0.0
1.2,0.069,0.0
1.2,0.071,0.0
1.2,0.061,0.0
1.2,0.063,0.0
1.2,0.065,0.0
1.2,0.067,0.0
1.2,0.069,0.0
1.1,0.057,0.0
1.1,0.058,0.0
1.1,0.061,0.0
1.1,0.062,0.0
1.1,0.065,0.0
1.1,0.065,0.0
1.0,0.054,0.0
1.0,0.055,0.0
1.0,0.057,0.0
0.9,0.042,0.0
0.9,0.042,0.0
0.9,0.043,0.0
0.9,0.045,0.0
0.9,0.046,0.0
0.9,0.048,0.0
0.9,0.05,0.0
0.9,0.053,0.0
0.9,0.055,0.0
0.9,0.057,0.0
0.9,0.059,0.0
0.8,0.044,0.0
0.8,0.046,0.0
0.8,0.048,0.0
0.8,0.05,0.0
0.9,0.037,0.111
0.9,0.039,0.0
0.9,0.041,0.0
0.9,0.043,0.0
0.9,0.044,0.0
0.9,0.046,0.0
0.9,0.046,0.0
0.9,0.048,0.0
0.9,0.05,0.0
0.9,0.051,0.0
0.8,0.033,0.0
0.8,0.034,0.0
0.8,0.036,0.0
0.8,0.037,0.0
0.8,0.039,0.0
0.8,0.041,0.0
0.8,0.043,0.0
0.8,0.044,0.0
0.8,0.046,0.0
0.8,0.048,0.0
0.8,0.043,0.0
0.8,0.045,0.0
0.8,0.046,0.0
0.8,0.047,0.0
0.8,0.048,0.0
0.8,0.05,0.0
0.8,0.051,0.0
0.8,0.05,0.0
0.8,0.051,0.0
0.8,0.052,0.0
0.8,0.054,0.0
0.8,0.055,0.0
0.8,0.056,0.0
0.8,0.058,0.0
1.1,0.044,0.273
1.1,0.046,0.0
1.1,0.049,0.0
1.1,0.051,0.0
1.1,0.053,0.0
1.1,0.055,0.0
1.1,0.057,0.0
1.1,0.059,0.0
1.1,0.062,0.0
1.1,0.064,0.0
1.1,0.066,0.0
1.1,0.068,0.0
1.0,0.057,0.0
1.0,0.059,0.0
0.8,0.026,0.0
0.8,0.027,0.0
1.0,0.024,0.2
1.0,0.026,0.0
1.0,0.027,0.0
1.0,0.029,0.0
1.0,0.03,0.0
1.0,0.03,0.0
1.0,0.031,0.0
1.0,0.033,0.0
1.0,0.035,0.0
1.0,0.037,0.0
1.1,0.025,0.091
1.1,0.028,0.0
1.1,0.027,0.0
1.1,0.029,0.0
1.1,0.03,0.0
1.1,0.029,0.0
1.1,0.03,0.0
1.1,0.032,0.0
1.1,0.033,0.0
1.1,0.035,0.0
1.2,0.033,0.083
1.2,0.035,0.0
1.2,0.035,0.0
1.2,0.037,0.0
1.2,0.039,0.0
1.2,0.04,0.0
1.2,0.042,0.0
1.2,0.044,0.0
1.2,0.046,0.0
1.2,0.048,0.0
1.3,0.046,0.077
1.3,0.048,0.0
1.3,0.05,0.0
1.3,0.053,0.0
1.3,0.055,0.0
1.3,0.056,0.0
1.3,0.059,0.0
1.3,0.061,0.0
1.3,0.064,0.0
1.3,0.066,0.0
1.4,0.055,0.071
1.4,0.058,0.0
1.4,0.061,0.0
1.1,0.028,0.0
1.1,0.031,0.0
1.1,0.029,0.0
1.1,0.031,0.0
1.1,0.034,0.0
1.1,0.036,0.0
1.1,0.038,0.0
1.1,0.041,0.0
1.1,0.043,0.0
1.1,0.046,0.0
1.1,0.048,0.0
1.1,0.051,0.0
1.1,0.053,0.0
1.1,0.055,0.0
1.1,0.058,0.0
1.1,0.06,0.0
1.1,0.063,0.0
1.1,0.065,0.0
1.1,0.068,0.0
1.1,0.07,0.0
1.1,0.073,0.0
1.1,0.075,0.0
1.1,0.078,0.0
1.1,0.08,0.0
1.1,0.082,0.0
1.1,0.085,0.0
1.1,0.079,0.0
1.1,0.082,0.0
1.1,0.084,0.0
1.1,0.087,0.0
1.1,0.089,0.0
1.1,0.09,0.0
1.1,0.093,0.0
1.1,0.095,0.0
1.0,0.086,0.0
1.0,0.089,0.0
1.3,0.021,0.231
1.3,0.022,0.0
1.3,0.023,0.0
1.3,0.024,0.0
1.3,0.025,0.0
1.3,0.023,0.0
1.3,0.025,0.0
1.3,0.026,0.0
1.3,0.028,0.0
1.3,0.029,0.0
1.3,0.019,0.0
1.3,0.02,0.0
1.3,0.021,0.0
1.3,0.022,0.0
1.3,0.023,0.0
1.3,0.025,0.0
1.3,0.027,0.0
1.3,0.029,0.0
1.3,0.032,0.0
1.3,0.034,0.0
1.4,0.032,0.071
1.3,0.02,0.0
1.3,0.022,0.0
1.3,0.023,0.0
1.3,0.025,0.0
1.3,0.027,0.0
1.3,0.029,0.0
1.3,0.032,0.0
1.3,0.034,0.0
1.3,0.036,0.0
1.3,0.019,0.0
1.3,0.021,0.0
1.3,0.022,0.0
1.3,0.024,0.0
1.5,0.022,0.133
1.5,0.022,0.0
1.5,0.024,0.0
1.5,0.026,0.0
1.5,0.028,0.0
1.5,0.03,0.0
1.5,0.032,0.0
1.5,0.034,0.0
1.5,0.036,0.0
1.5,0.038,0.0
1.5,0.041,0.0
1.5,0.043,0.0
1.5,0.045,0.0
1.5,0.048,0.0
1.5,0.051,0.0
1.5,0.053,0.0
1.5,0.053,0.0
1.5,0.055,0.0
1.5,0.058,0.0
1.5,0.064,0.0
1.5,0.066,0.0
1.5,0.067,0.0
1.5,0.07,0.0
1.5,0.072,0.0
1.5,0.074,0.0
1.5,0.077,0.0
1.5,0.079,0.0
1.5,0.082,0.0
1.5,0.084,0.0
1.5,0.087,0.0
1.4,0.081,0.0
1.4,0.084,0.0
1.4,0.086,0.0
1.4,0.089,0.0
1.4,0.092,0.0
1.4,0.094,0.0
1.4,0.097,0.0
1.4,0.099,0.0
1.3,0.094,0.0
1.2,0.088,0.0
1.1,0.081,0.0
1.1,0.083,0.0
1.1,0.085,0.0
1.1,0.088,0.0
1.1,0.09,0.0
1.1,0.087,0.0
1.1,0.089,0.0
1.1,0.092,0.0
1.1,0.094,0.0
1.1,0.096,0.0
1.1,0.098,0.0
1.1,0.1,0.0
1.1,0.102,0.0
1.1,0.104,0.0
1.1,0.106,0.0
1.1,0.095,0.0
1.1,0.097,0.0
1.1,0.099,0.0
1.1,0.101,0.0
0.8,0.067,0.0
0.6,0.023,0.0
0.6,0.024,0.0
0.6,0.026,0.0
0.6,0.027,0.0
0.6,0.029,0.0
0.7,0.026,0.143
0.7,0.028,0.0
0.7,0.029,0.0
0.7,0.03,0.0
0.7,0.032,0.0
0.7,0.033,0.0
0.7,0.035,0.0
0.7,0.037,0.0
0.7,0.038,0.0
0.7,0.04,0.0
1.1,0.005,0.364
1.1,0.006,0.0
1.1,0.008,0.0
1.1,0.009,0.0
1.1,0.011,0.0
1.1,0.008,0.0
1.1,0.009,0.0
1.1,0.012,0.0
1.1,0.013,0.0
1.1,0.014,0.0
1.2,0.015,0.083
1.2,0.016,0.0
1.2,0.017,0.0
1.2,0.019,0.0
1.2,0.021,0.0
1.2,0.022,0.0
1.2,0.024,0.0
1.2,0.027,0.0
