Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_LEARN_MAC
-0.0015,0.0,0.0,0.0
0.0,0.0,0.7028,0.0
-0.0011,0.0,0.0,0.0
-0.002,0.0,0.0,0.0
-0.0028,0.0,0.0,0.0
-0.0028,0.0,-0.0011,0.0
-0.0028,0.0,-0.0011,0.0
-0.0028,-0.001,-0.0011,0.0
-0.0028,-0.001,-0.002,0.0
-0.0028,-0.001,-0.002,-0.001
-0.0028,-0.001,-0.0027,-0.001
-0.0028,-0.001,-0.0027,-0.0023
-0.0028,-0.002,-0.0027,-0.0023
-0.0028,-0.003,-0.0027,-0.0023
-0.0028,-0.004,-0.0027,-0.0023
-0.0028,-0.004,-0.0054,-0.0023
-0.0028,-0.0049,-0.0054,-0.0023
-0.0028,-0.0057,-0.0054,-0.0023
-0.0028,-0.0057,-0.0061,-0.0023
-0.0028,-0.0057,0.0386,-0.0023
-0.0028,-0.0017,0.0386,-0.0023
-0.0028,1.1112,0.0386,-0.0023
-0.0028,1.1112,0.1443,-0.0023
-0.0028,1.1112,0.1443,0.1072
0.1067,1.1112,0.1443,0.1072
0.1067,1.1112,0.2392,0.1072
0.2053,1.1112,0.2392,0.1072
0.2937,1.1112,0.2392,0.1072
