Occupancy,Flood,Age
1.200,0.000,0.086
1.200,0.000,0.069
1.200,0.000,0.072
1.200,0.000,0.066
1.200,0.000,0.069
1.200,0.000,0.062
1.200,0.000,0.058
1.200,0.000,0.060
1.200,0.000,0.064
1.200,0.000,0.066
1.200,0.000,0.069
1.200,0.000,0.072
1.200,0.000,0.064
1.200,0.000,0.071
1.200,0.000,0.074
1.200,0.000,0.077
1.200,0.000,0.080
1.200,0.000,0.083
1.200,0.000,0.086
1.200,0.000,0.089
1.200,0.000,0.095
1.200,0.000,0.098
1.200,0.000,0.093
1.200,0.000,0.095
1.200,0.000,0.098
1.200,0.000,0.101
1.200,0.000,0.103
1.200,0.000,0.106
1.200,0.000,0.112
1.200,0.000,0.115
1.200,0.000,0.118
1.200,0.000,0.121
1.200,0.000,0.123
1.200,0.000,0.126
1.200,0.000,0.129
1.200,0.000,0.132
1.200,0.000,0.134
1.200,0.000,0.140
1.200,0.000,0.143
1.200,0.000,0.146
1.200,0.000,0.134
1.200,0.000,0.137
1.200,0.000,0.139
1.200,0.000,0.142
1.200,0.000,0.145
1.200,0.000,0.150
1.200,0.000,0.153
1.200,0.000,0.155
1.200,0.000,0.158
1.200,0.000,0.161
1.200,0.000,0.164
1.200,0.000,0.167
1.200,0.000,0.170
1.200,0.000,0.173
1.200,0.000,0.176
1.200,0.000,0.182
1.200,0.000,0.185
1.200,0.000,0.188
1.200,0.000,0.191
1.200,0.000,0.194
1.200,0.000,0.198
1.200,0.000,0.201
1.200,0.000,0.204
1.200,0.000,0.207
1.200,0.000,0.213
1.200,0.000,0.216
1.200,0.000,0.219
1.200,0.000,0.222
1.200,0.000,0.225
1.200,0.000,0.228
1.200,0.000,0.231
1.200,0.000,0.234
1.200,0.000,0.237
1.200,0.000,0.240
1.200,0.000,0.243
1.200,0.000,0.246
1.200,0.000,0.236
1.200,0.000,0.239
1.200,0.000,0.243
1.200,0.000,0.246
1.200,0.000,0.249
1.200,0.000,0.254
1.200,0.000,0.257
1.200,0.000,0.261
1.200,0.000,0.264
1.200,0.000,0.184
1.200,0.000,0.187
1.200,0.000,0.175
1.200,0.000,0.178
1.200,0.000,0.165
1.200,0.000,0.165
1.200,0.000,0.155
1.200,0.000,0.158
1.200,0.000,0.162
1.200,0.000,0.164
1.200,0.000,0.167
1.200,0.000,0.171
1.200,0.000,0.174
1.200,0.000,0.177
1.200,0.000,0.181
1.200,0.000,0.170
1.200,0.000,0.173
1.200,0.000,0.173
1.200,0.000,0.176
1.200,0.000,0.177
1.200,0.000,0.181
1.200,0.000,0.149
1.200,0.000,0.144
1.200,0.000,0.147
1.200,0.000,0.151
1.200,0.000,0.154
1.200,0.000,0.131
1.200,0.000,0.126
1.200,0.000,0.130
1.200,0.000,0.133
1.200,0.000,0.135
1.200,0.000,0.138
1.200,0.000,0.142
1.200,0.000,0.148
1.200,0.000,0.151
1.200,0.000,0.154
1.200,0.000,0.157
1.200,0.000,0.160
1.200,0.000,0.163
1.200,0.000,0.166
1.200,0.000,0.172
1.200,0.000,0.137
1.200,0.000,0.140
1.200,0.000,0.143
1.200,0.000,0.146
1.200,0.000,0.142
1.200,0.000,0.144
1.200,0.000,0.147
1.200,0.000,0.153
1.200,0.000,0.155
1.200,0.000,0.158
1.200,0.000,0.161
1.200,0.000,0.164
1.200,0.000,0.167
1.200,0.000,0.169
1.200,0.000,0.112
1.200,0.000,0.115
1.200,0.000,0.117
1.200,0.000,0.120
1.200,0.000,0.122
1.200,0.000,0.125
1.200,0.000,0.128
1.200,0.000,0.131
1.200,0.000,0.109
1.200,0.000,0.115
1.200,0.000,0.118
1.200,0.000,0.120
1.200,0.000,0.122
1.200,0.000,0.125
1.200,0.000,0.128
1.200,0.000,0.114
1.200,0.000,0.117
1.200,0.000,0.104
1.200,0.000,0.111
1.200,0.000,0.113
1.200,0.000,0.116
1.200,0.000,0.119
1.200,0.000,0.121
1.200,0.000,0.123
1.200,0.000,0.126
1.200,0.000,0.129
1.200,0.000,0.135
1.200,0.000,0.138
1.200,0.000,0.140
1.200,0.000,0.143
1.200,0.000,0.146
1.200,0.000,0.148
1.200,0.000,0.151
1.200,0.000,0.154
1.200,0.000,0.157
1.200,0.000,0.159
1.200,0.000,0.162
1.200,0.000,0.165
1.200,0.000,0.168
1.200,0.000,0.174
1.200,0.000,0.177
1.200,0.000,0.179
1.200,0.000,0.182
1.200,0.000,0.184
1.200,0.000,0.182
1.200,0.000,0.184
1.200,0.000,0.187
1.200,0.000,0.190
1.200,0.000,0.193
1.200,0.000,0.199
1.200,0.000,0.202
1.200,0.000,0.204
1.200,0.000,0.207
1.200,0.000,0.187
1.200,0.000,0.190
1.200,0.000,0.193
1.200,0.000,0.195
1.200,0.000,0.201
1.200,0.000,0.203
1.200,0.000,0.206
1.200,0.000,0.208
1.200,0.000,0.211
1.200,0.000,0.200
1.200,0.000,0.202
1.200,0.000,0.205
1.200,0.000,0.211
1.200,0.000,0.214
1.200,0.000,0.216
1.200,0.000,0.218
1.200,0.000,0.221
1.200,0.000,0.224
1.200,0.000,0.204
1.200,0.000,0.207
1.200,0.000,0.213
1.200,0.000,0.215
1.200,0.000,0.218
1.200,0.000,0.220
1.200,0.000,0.223
1.200,0.000,0.225
1.200,0.000,0.228
1.200,0.000,0.231
1.200,0.000,0.233
1.200,0.000,0.239
1.200,0.000,0.242
1.200,0.000,0.244
1.200,0.000,0.246
1.200,0.000,0.249
1.200,0.000,0.252
1.200,0.000,0.254
1.200,0.000,0.257
1.200,0.000,0.263
1.200,0.000,0.266
1.200,0.000,0.268
1.200,0.000,0.271
1.200,0.000,0.273
1.200,0.000,0.275
1.200,0.000,0.278
1.200,0.000,0.281
1.200,0.000,0.283
1.200,0.000,0.289
1.200,0.000,0.292
1.200,0.000,0.295
1.200,0.000,0.297
1.200,0.000,0.299
1.200,0.000,0.302
1.200,0.000,0.305
1.200,0.000,0.310
1.200,0.000,0.291
1.200,0.000,0.294
1.200,0.000,0.296
1.200,0.000,0.298
1.200,0.000,0.301
1.200,0.000,0.303
1.200,0.000,0.306
1.200,0.000,0.308
1.200,0.000,0.311
1.200,0.000,0.317
1.200,0.000,0.319
1.200,0.000,0.321
1.200,0.000,0.324
1.200,0.000,0.326
1.200,0.000,0.328
1.200,0.000,0.331
1.200,0.000,0.333
1.200,0.000,0.338
1.200,0.000,0.341
1.200,0.000,0.343
1.200,0.000,0.346
1.200,0.000,0.348
1.200,0.000,0.351
1.200,0.000,0.353
1.200,0.000,0.356
1.200,0.000,0.358
1.200,0.000,0.363
1.200,0.000,0.357
1.200,0.000,0.359
1.200,0.000,0.362
1.200,0.000,0.365
1.200,0.000,0.367
1.200,0.000,0.370
1.200,0.000,0.373
1.200,0.000,0.376
1.200,0.000,0.382
1.200,0.000,0.384
1.200,0.000,0.387
1.200,0.000,0.390
1.200,0.000,0.393
1.200,0.000,0.374
1.200,0.000,0.377
1.200,0.000,0.380
1.200,0.000,0.383
1.200,0.000,0.389
1.200,0.000,0.391
1.200,0.000,0.394
1.200,0.000,0.397
1.200,0.000,0.399
1.200,0.000,0.402
1.200,0.000,0.405
1.200,0.000,0.408
1.200,0.000,0.411
1.200,0.000,0.417
1.200,0.000,0.419
1.200,0.000,0.356
1.200,0.000,0.359
1.200,0.000,0.362
1.200,0.000,0.364
1.200,0.000,0.367
1.200,0.000,0.370
1.200,0.000,0.373
1.200,0.000,0.379
1.200,0.000,0.381
1.200,0.000,0.384
1.200,0.000,0.387
1.200,0.000,0.389
1.200,0.000,0.392
1.200,0.000,0.395
1.200,0.000,0.398
1.200,0.000,0.312
1.200,0.000,0.315
1.200,0.000,0.321
1.200,0.000,0.323
1.200,0.000,0.326
1.200,0.000,0.329
1.200,0.000,0.332
1.200,0.000,0.334
1.200,0.000,0.337
1.200,0.000,0.340
1.200,0.000,0.343
1.200,0.000,0.349
1.200,0.000,0.351
1.200,0.000,0.354
1.200,0.000,0.357
1.200,0.000,0.297
1.200,0.000,0.299
1.200,0.000,0.302
1.200,0.000,0.305
1.200,0.000,0.308
1.200,0.000,0.314
1.200,0.000,0.316
1.200,0.000,0.319
1.200,0.000,0.322
1.200,0.000,0.324
1.200,0.000,0.327
1.200,0.000,0.330
1.200,0.000,0.333
1.200,0.000,0.335
1.200,0.000,0.203
1.200,0.000,0.206
1.200,0.000,0.208
1.200,0.000,0.211
1.200,0.000,0.214
1.200,0.000,0.215
1.200,0.000,0.218
1.200,0.000,0.221
1.200,0.000,0.223
1.200,0.000,0.221
1.200,0.000,0.224
1.200,0.000,0.227
1.200,0.000,0.229
1.200,0.000,0.232
1.200,0.000,0.235
1.200,0.000,0.176
1.200,0.000,0.178
1.200,0.000,0.181
1.200,0.000,0.174
1.200,0.000,0.180
1.200,0.000,0.183
1.200,0.000,0.185
1.200,0.000,0.188
1.200,0.000,0.190
1.200,0.000,0.193
1.200,0.000,0.196
1.200,0.000,0.198
1.200,0.000,0.192
1.200,0.000,0.198
1.200,0.000,0.201
1.200,0.000,0.165
1.200,0.000,0.167
1.200,0.000,0.170
1.200,0.000,0.172
1.200,0.000,0.175
1.200,0.000,0.177
1.200,0.000,0.180
1.200,0.000,0.186
1.200,0.000,0.188
1.200,0.000,0.191
1.200,0.000,0.193
1.200,0.000,0.196
1.200,0.000,0.198
1.200,0.000,0.201
1.200,0.000,0.204
1.200,0.000,0.115
1.200,0.000,0.121
1.200,0.000,0.124
1.200,0.000,0.127
1.200,0.000,0.129
1.200,0.000,0.131
1.200,0.000,0.134
1.200,0.000,0.137
1.200,0.000,0.139
1.200,0.000,0.141
1.200,0.000,0.144
1.200,0.000,0.150
1.200,0.000,0.153
1.200,0.000,0.156
1.200,0.000,0.159
1.200,0.000,0.161
1.200,0.000,0.164
1.200,0.000,0.167
1.200,0.000,0.170
1.200,0.000,0.172
1.200,0.000,0.178
1.200,0.000,0.181
1.200,0.000,0.184
1.200,0.000,0.187
1.200,0.000,0.189
1.200,0.000,0.192
1.200,0.000,0.195
