mac_fill,age_score,flood_pressure
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
1.9,1.0,0.002
1.9,0.0,0.006
1.9,0.0,0.007
1.9,0.0,0.011
1.9,0.0,0.013
1.9,0.0,0.006
1.9,0.0,0.009
1.9,0.0,0.011
1.9,0.0,0.015
1.9,0.0,0.018
1.9,0.0,0.021
1.9,0.0,0.025
1.9,0.0,0.02
1.9,0.0,0.023
1.9,0.0,0.024
1.9,0.0,0.027
1.9,0.0,0.027
1.9,0.0,0.028
1.9,0.0,0.03
1.9,0.0,0.033
1.9,0.0,0.036
1.9,0.0,0.039
2.0,0.05,0.03
2.0,0.0,0.037
2.1,0.048,0.038
2.1,0.0,0.041
2.2,0.045,0.034
2.2,0.0,0.037
2.3,0.043,0.037
2.3,0.0,0.041
2.4,0.042,0.036
2.4,0.0,0.039
2.4,0.0,0.034
2.4,0.0,0.038
2.4,0.0,0.035
2.4,0.0,0.038
2.4,0.0,0.031
2.4,0.0,0.034
2.4,0.0,0.023
2.4,0.0,0.027
2.4,0.0,0.03
2.4,0.0,0.031
2.4,0.0,0.034
2.4,0.0,0.037
2.4,0.0,0.041
2.4,0.0,0.044
2.4,0.0,0.047
2.4,0.0,0.051
2.4,0.0,0.054
2.4,0.0,0.057
2.4,0.0,0.061
2.4,0.0,0.059
2.4,0.0,0.062
2.4,0.0,0.065
2.4,0.0,0.068
2.4,0.0,0.071
2.4,0.0,0.074
2.4,0.0,0.077
2.4,0.0,0.08
2.4,0.0,0.083
2.4,0.0,0.086
2.4,0.0,0.081
2.4,0.0,0.087
2.4,0.0,0.09
2.4,0.0,0.093
2.4,0.0,0.096
2.4,0.0,0.099
2.4,0.0,0.102
2.4,0.0,0.106
2.4,0.0,0.109
2.4,0.0,0.092
2.4,0.0,0.096
2.4,0.0,0.099
2.4,0.0,0.102
2.4,0.0,0.105
2.4,0.0,0.108
2.4,0.0,0.111
2.4,0.0,0.114
2.4,0.0,0.101
2.4,0.0,0.104
2.4,0.0,0.107
2.4,0.0,0.111
2.4,0.0,0.106
2.4,0.0,0.109
2.4,0.0,0.113
2.4,0.0,0.116
2.4,0.0,0.105
2.4,0.0,0.109
2.4,0.0,0.108
2.4,0.0,0.112
2.4,0.0,0.068
2.4,0.0,0.072
2.4,0.0,0.066
2.4,0.0,0.069
2.4,0.0,0.052
